objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
yppc_99,Seven Simons,"Stephens, Jeffryn",1984,"Seven Simons went fishing, and thought they lost a Simon. A stranger helps them realize they miscounted.",04-10,4,,,YPPC,,The second copy is part of the Stories and Stuff collection.,4,FALSE,FALSE,FALSE,,8,0,0,8,FALSE
yppc_100,Stories and Stuff,"Stephens, Jeffryn",1984,"Off to find his fortune, Jack meets a cat, dog, goat, bull and rooster, who help him recover a fortune from a gang of thieves. This also includes the Seven Simons play and The Castle of Frowns, a cautionary tale about a grumpy child.",04-10,15,,,YPPC,,,2,TRUE,FALSE,TRUE,Adapted from Jack and the Robbers.,21,4,3,14,TRUE
yppc_101,The Lion and the Mice,"Stephens, Jeffryn",1996,A very unusual friendship develops between a lion and two mice.,04-10,4,,,YPPC,,,1,FALSE,FALSE,TRUE,Adapted from The Lion and the Mouse.,10,0,1,9,FALSE
yppc_102,All the Wealth One Needs,"Leonard, Joann",Unknown,"Based on A Thousand and One Arabian Nights, this story within a story tells how a young woman's courage and intelligence saves the day.",04-12,12,,,"Samuel French, Inc.",,,33,FALSE,TRUE,TRUE,Adapted from 1001 Arabian Nights.,16,2,1,13,TRUE
yppc_103,Andre's/Andrea's Hat,"Stephens, Jeffryn",1984,Andrea's Cap is a story about a girl who rejects all kinds of gifts in favor of keeping the cap her mother made her.,04-10,6,,,YPPC,,,2,FALSE,FALSE,FALSE,,9,1,5,3,FALSE
yppc_104,Bata's Lessons: A Tale from Ancient Egypt,"Winther, Barbara",1976,"The gods make a wife for Bata. They live in peace for a while, until he is murdered and his wife is kidnapped by the Pharaoh. Bata comes to her in the form of a bull to win her back.",10-14,10,,,"Plays, Inc.",,,8,FALSE,FALSE,TRUE,"A child-friendly adaptation from the Tale of the Two Brothers, an Egyptian myth that comes down to us from the reign of Seti II (reign 1200-1194 BCE).",13,3,3,7,TRUE
yppc_105,The Big Toe: A Jump Tale,"Stephens, Jeffryn",1994,"A boy is frustrated with not having any meat for his dinner. When he is hoeing the garden, he comes across what looks like a big toe stuck in the dirt. He eats it for dinner, but the monster whose toe it was wants it back.",04-10,6,,,YPPC,,,17,FALSE,FALSE,TRUE,An adaptation of The Big Toe from Scary Stories to Tell in the Dark by Alvin Schwartz,10,1,1,8,TRUE
yppc_106,The Buffalo and the Bell,"Unknown,",Unknown,"A trickster tale set in Indonesia. A man is sent to sell his buffalo, and is swindled by some of the men in the market. He swindles them in return.",04-12,15,,,Unknown,,"This is copied from a book, but there is no author information. The section is titled Plays for Children to Perform.",3,FALSE,TRUE,TRUE,"Appears to be an adaptation of The Buffalo and the Bell by Myra Scovel, published in 1963.",7,1,2,4,TRUE
yppc_107,The Castle of Frowns,"Stephens, Jeffryn",1984,Adults try to make a grumpy child less cranky. Happy shows the child that laughter and joy are contagious.,04-08,5,,,YPPC,,,8,FALSE,FALSE,FALSE,,12,1,3,8,FALSE
yppc_108,The Cat that Walked by Himself,"Stephens, Jeffryn",2008,"How some animals became domesticated, and some less so.",04-12,10,,,YPPC,,,1,FALSE,FALSE,TRUE,Adaptation of Rudyard Kipling's The Cat that Walked by Himself from the Just So Stories.,7,1,1,5,FALSE
yppc_109,City Mouse and Country Mouse,"Bennett, Rowena",1987,"The Country Mouse is enjoying their life in the country, until their cousin visits. When they travel to their cousin's so they can show the Country Mouse the wonders of the city, they are threatened by cats and traps.",04-08,4,,,Unknown,,,1,FALSE,TRUE,TRUE,Adaptation of City Mouse and Country Mouse.,5,0,0,5,FALSE
yppc_110,Five Foolish Freds,"Stephens, Jeffryn",1988,"Five Freds went fishing, and thought they lost a Fred. A stranger helps them realize they miscounted.",04-10,5,,,YPPC,,"This is the same play as Seven Simons, just with a slightly smaller cast.",6,FALSE,FALSE,FALSE,,6,0,0,6,FALSE
yppc_111,Follow the River Lai,"Winther, Barbara",1976,Man searches for utopia and finds it. After living there he returns home to find a hundred years have passed; his old friend's son learns a lesson from the experience,04-10,13,,,"Plays, Inc.",,"Folder contains music for ""Grotto Maidens Song"" set to Mountain High, Valley Low, as well as two maps: one of Southwest Asia and one of Southeast Asia and a copy of a mid-1800s print of London.",12,FALSE,FALSE,TRUE,Based on the Vietnamese folktale.,9,7,2,0,TRUE
